Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
V,5.0,2.6640749300260815e-14,0.5705295611181465,1.5545946393469434e-08,-0.6067178371636828,-9.43200297250833e-09,17,27,hbo,False,S17_D27 hbo,201,1,1,trained,True
W,5.0,2.6640749300260815e-14,0.03978725788616892,1.523282489884747e-08,-2.7610042529680014,-4.205789433043473e-08,17,27,hbo,True,S17_D27 hbo,201,1,1,trained,True
constant,5.0,2.6640749300260815e-14,0.0013840691553485053,3.315050983265783e-09,6.39630358134572,2.1204072476606575e-08,17,27,hbo,True,S17_D27 hbo,201,1,1,trained,True
A,5.0,1.120629252994666e-14,0.845620680143142,1.0077819596715201e-08,-0.20504816084508412,-2.0664383736349994e-09,17,27,hbr,False,S17_D27 hbr,201,1,1,trained,True
AV,5.0,1.120629252994666e-14,0.0001888651451497531,1.0145482364689924e-08,9.794121197796933,9.936608388988454e-08,17,27,hbr,True,S17_D27 hbr,201,1,1,trained,True
V,5.0,1.120629252994666e-14,0.0006003174926318976,1.0082655427817263e-08,7.669746364290228,7.733140980989258e-08,17,27,hbr,True,S17_D27 hbr,201,1,1,trained,True
W,5.0,1.120629252994666e-14,0.00018849892220243055,9.879573797570382e-09,-9.798092816157048,-9.680098105266777e-08,17,27,hbr,True,S17_D27 hbr,201,1,1,trained,True
constant,5.0,1.120629252994666e-14,0.8370250285903285,2.1500470890570374e-09,-0.21667475057277993,-4.658609167411652e-10,17,27,hbr,False,S17_D27 hbr,201,1,1,trained,True
A,5.0,4.3146910501962414e-13,0.0014972079563862202,6.253317132068446e-08,6.2861747604042595,3.930944432441221e-07,18,26,hbo,True,S18_D26 hbo,201,1,1,trained,True
AV,5.0,4.3146910501962414e-13,0.009571687568142948,6.295302081503084e-08,-4.076604572050625,-2.566345724789529e-07,18,26,hbo,True,S18_D26 hbo,201,1,1,trained,True
V,5.0,4.3146910501962414e-13,0.589617871782359,6.25631777969744e-08,-0.5759227611093392,-3.6031558100608e-08,18,26,hbo,False,S18_D26 hbo,201,1,1,trained,True
W,5.0,4.3146910501962414e-13,0.0018397333229053286,6.13030502213179e-08,6.004661039718967,3.681040372798828e-07,18,26,hbo,True,S18_D26 hbo,201,1,1,trained,True
constant,5.0,4.3146910501962414e-13,0.21428428529115287,1.3341106345202435e-08,1.4220318369240108,1.8971477962666793e-08,18,26,hbo,False,S18_D26 hbo,201,1,1,trained,True
A,5.0,8.446467954650861e-13,0.062075223024981335,8.749297249840637e-08,-2.3940583949491065,-2.0946328530886106e-07,18,26,hbr,False,S18_D26 hbr,201,1,1,trained,True
AV,5.0,8.446467954650861e-13,0.004503003577677414,8.808040280917598e-08,4.892684986706751,4.3094966444753846e-07,18,26,hbr,True,S18_D26 hbr,201,1,1,trained,True
V,5.0,8.446467954650861e-13,0.8039831619718067,8.753495590896054e-08,-0.2617111973029581,-2.290887811679571e-08,18,26,hbr,False,S18_D26 hbr,201,1,1,trained,True
W,5.0,8.446467954650861e-13,0.0030730731448935147,8.577185474212546e-08,-5.346444502295574,-4.585744612377312e-07,18,26,hbr,True,S18_D26 hbr,201,1,1,trained,True
constant,5.0,8.446467954650861e-13,0.0555930972832532,1.866614191967284e-08,-2.4836314778491078,-4.635981764169824e-08,18,26,hbr,False,S18_D26 hbr,201,1,1,trained,True
A,5.0,3.217816693479941e-13,0.013996804866325438,5.400279679083526e-08,-3.7001790299790556,-1.9982001624566886e-07,18,27,hbo,True,S18_D27 hbo,201,1,1,trained,True
AV,5.0,3.217816693479941e-13,0.3513410899235313,5.436537310748568e-08,-1.0274054552638952,-5.5855280908087846e-08,18,27,hbo,False,S18_D27 hbo,201,1,1,trained,True
V,5.0,3.217816693479941e-13,0.0067688238335900245,5.402870997590603e-08,4.439370775466975,2.3985347610321825e-07,18,27,hbo,True,S18_D27 hbo,201,1,1,trained,True
W,5.0,3.217816693479941e-13,0.016393224983092494,5.29404809294416e-08,3.5496719173843774,1.8792133844806205e-07,18,27,hbo,True,S18_D27 hbo,201,1,1,trained,True
constant,5.0,3.217816693479941e-13,0.07626515709728118,1.1521198105086034e-08,-2.2289542276047127,-2.568022322340292e-08,18,27,hbo,False,S18_D27 hbo,201,1,1,trained,True
A,5.0,7.890275107314488e-13,0.027613070639839137,8.45632518253032e-08,-3.0754186046329384,-2.6006739793179776e-07,18,27,hbr,True,S18_D27 hbr,201,1,1,trained,True
AV,5.0,7.890275107314488e-13,0.8923343234742573,8.513101190798107e-08,0.14238669623381145,1.2121523532618686e-08,18,27,hbr,False,S18_D27 hbr,201,1,1,trained,True
